English,German
wants,will
says,sagt
TRUE,WAHR
die,sterben
heart,Herz
soon,bald
each,jede
worry,Sorge
later,später
year,Jahr
watch,betrachten
music,Musik
hand,Hand
having,haben
probably,wahrscheinlich
beautiful,Schön
doctor,Arzt
sit,sitzen
eat,essen
thinking,Denken
young,jung
second,zweite
working,Arbeiten
water,Wasser
person,Person
part,Teil
kids,Kinder
late,spät
stuff,Sachen
exactly,genau
under,unter
death,Tod
minute,Minute
pay,zahlen
crazy,verrückt
forget,vergessen
everybody,alle
kid,Kind
change,ändern
gave,gab
happen,passieren
damn,Verdammt
five,fünf
drink,trinken
far,weit
knows,weiß
its,es ist
whatever,was auch immer
eyes,Augen
shut,schließen
aren,aren
hit,Schlag
taking,nehmen
easy,einfach
times,mal
check,überprüfen
hands,Hände
minutes,Protokoll
deal,handeln
different,anders
means,bedeutet
point,Punkt
inside,innen
makes,macht
asked,fragte
somebody,jemand
mine,meins
making,Herstellung
body,Körper
afraid,besorgt
sleep,schlafen
chance,Chance
dear,Liebling
quite,ganz
four,vier
anyway,Trotzdem
close,schließen
ain,ain
party,Party
fun,Spaß
against,gegen
word,Wort
comes,kommt
important,wichtig
set,Satz
shall,soll
story,Geschichte
number,Nummer
daughter,Tochter
least,am wenigsten
waiting,warten
hurt,verletzt
wish,Wunsch
moment,Moment
fight,kämpfen
week,Woche
husband,Ehemann
girls,Mädchen
rest,ausruhen
married,verheiratet
fire,Feuer
game,Spiel
nobody,niemand
mr,Herr
children,Kinder
side,Seite
stand,Stand
read,lesen
though,obwohl
cut,schneiden
started,gestartet
sister,Schwester
supposed,angeblich
between,zwischen
child,Kind
goes,geht
hours,Std.
speak,sprechen
women,Frauen
behind,hinter
almost,fast
truth,Wahrheit
blood,Blut
able,fähig
lady,Dame
anymore,mehr
playing,spielen
gets,bekommt
shot,Schuss
reason,Grund
trouble,Problem
break,brechen
war,Krieg
city,Stadt
walk,gehen
town,Stadt
trust,Vertrauen
dr.,DR.
met,getroffen
office,Büro
question,Frage
brought,gebracht
yours,dein
welcome,Willkommen
high,hoch
wow,Wow
couple,Paar
half,Hälfte
died,gestorben
cool,Cool
free,frei
either,entweder
seems,scheint
power,Leistung
whoa,Wow
bye,Tschüss
buy,kaufen
telling,erzählen
honey,Honig
tried,versucht
front,Vorderseite
team,Team
answer,Antwort
gun,Pistole
boys,Jungen
line,Linie
send,schicken
news,Nachricht
stupid,dumm
bed,Bett
hurry,beeil dich
full,voll
months,Monate
save,speichern
sometimes,Manchmal
become,werden
along,entlang
hate,hassen
food,Essen
outside,draußen
light,Licht
l,l
needs,Bedürfnisse
dog,Hund
country,Land
clear,klar
order,Befehl
em,em
fact,Tatsache
lord,Herr
captain,Kapitän
six,sechs
hot,heiß
funny,lustig
black,Schwarz
mrs.,Frau.
alive,lebendig
pick,wählen
feeling,Gefühl
living,Leben
cause,Ursache
ahead,voraus
lose,verlieren
king,König
plan,planen
dinner,Abendessen
sighs,seufzt
sort,Sortieren
leaving,Verlassen
shouldn,sollte nicht
running,läuft
boss,Chef
alright,In Ordnung
promise,versprechen
taken,genommen
safe,sicher
ma,ma
book,Buch
sent,gesendet
white,Weiß
hour,Stunde
anybody,irgendjemand
small,klein
perfect,perfekt
cause,Ursache
lives,Leben
special,besonders
parents,Eltern
s,S
john,John
himself,sich selbst
perhaps,vielleicht
sounds,Geräusche
serious,ernst
sick,krank
company,Unternehmen
ha,Ha
scared,verängstigt
uncle,Onkel
poor,arm
red,Rot
past,Vergangenheit
earth,Erde
possible,möglich
shoot,schießen
touch,berühren
sound,Klang
top,Spitze
ass,Arsch
laughs,lacht
cannot,kann nicht
asking,fragen
win,gewinnen
glad,froh
control,Kontrolle
hmm,Hmm
human,menschlich
drive,fahren
hair,Haar
jack,Jack
bitch,Hündin
luck,Glück
murder,Mord
happens,das passiert
air,Luft
ten,zehn
daddy,Vati
finally,Endlich
chuckles,kichert
fast,schnell
cold,kalt
seem,erscheinen
laughing,Lachen
words,Wörter
hospital,Krankenhaus
street,Straße
hang,aufhängen
dance,tanzen
meeting,treffen
till,bis
others,Andere
catch,fangen
follow,folgen
sense,Sinn
sex,Sex
lie,Lüge
evening,Abend
master,Meister
known,bekannt
dream,Traum
write,schreiben
million,Million
voice,Stimme
sweet,süß
rather,eher
felt,gefühlt
sign,Zeichen
lucky,glücklich
somewhere,irgendwo
bet,Wette
o,Ö
jesus,Jesus
longer,länger
calling,Berufung
worked,hat funktioniert
quiet,ruhig
looked,sah
less,weniger
pull,ziehen
beat,schlagen
careful,vorsichtig
coffee,Kaffee
return,zurückkehren
secret,Geheimnis
weeks,Wochen
weren,waren
date,Datum
seeing,Sehen
fall,fallen
given,gegeben
ooh,Oh
fault,Fehler
straight,gerade
takes,dauert
song,Lied
future,Zukunft
gentlemen,Herren
loved,geliebt
changed,geändert
road,Straße
calm,ruhig
wonderful,wunderbar
mad,verrückt
turned,gedreht
drop,fallen
ladies,Damen
learn,lernen
step,Schritt
absolutely,absolut
early,früh
explain,erklären
clean,sauber
piece,Stück
yesterday,gestern
throw,werfen
picture,Bild
land,Land
feet,Füße
wonder,Wunder
questions,Fragen
speaking,Apropos
worth,Wert
darling,Schatz
dude,Alter
giving,Geben
president,Präsident
eye,Auge
quick,schnell
moving,ziehen um
figure,Figur
state,Zustand
strong,stark
sam,Sam
none,keiner
amazing,toll
ones,Einsen
works,funktioniert
act,Akt
needed,erforderlich
weird,seltsam
law,Gesetz
worried,besorgt
report,Bericht
goodbye,Verabschiedung
missing,fehlen
choice,Auswahl
happening,Ereignis
chief,Chef
wedding,Hochzeit
strange,seltsam
general,allgemein
pain,Schmerz
am,Bin
kidding,scherzhaft
decided,entschieden
ya,Ja
pass,passieren
tired,müde
class,Klasse
officer,Offizier
kept,gehalten
wake,aufwachen
worse,schlechter
busy,beschäftigt
eh,äh
mistake,Fehler
kiss,Kuss
court,Gericht
building,Gebäude
finish,beenden
during,während
age,Alter
ship,Schiff
caught,erwischt
marry,heiraten
meant,gemeint
sell,verkaufen
dark,dunkel
watching,Aufpassen
system,System
suppose,vermuten
evidence,Beweis
movie,Film
ride,Fahrt
t,T
completely,vollständig
mouth,Mund
totally,total
birthday,Geburtstag
tv,Fernseher
forgive,verzeihen
born,geboren
imagine,vorstellen
information,Information
instead,stattdessen
definitely,definitiv
security,Sicherheit
certainly,sicherlich
film,Film
month,Monat
lying,liegen
unless,es sei denn
train,Zug
seven,Sieben
wear,tragen
clothes,Kleidung
michael,Michael
hotel,Hotel
christmas,Weihnachten
attack,Attacke
hasn,hasn
round,runden
expect,erwarten
sing,singen
terrible,schrecklich
george,George
bag,Tasche
history,Geschichte
blue,Blau
near,nahe
broke,Pleite
station,Bahnhof
seriously,ernsthaft
forever,für immer
david,David
frank,frank
except,außer
thinks,denkt
message,Nachricht
entire,gesamte
joe,Joe
table,Tisch
talked,geredet
across,über
rock,Felsen
lovely,schön
handle,handhaben
middle,Mitte
buddy,Kumpel
paid,bezahlt
protect,schützen
using,verwenden
floor,Boden
ran,rannte
swear,schwören
spend,ausgeben
situation,Situation
ring,Ring
anywhere,überall
dangerous,gefährlich
bill,Rechnung
york,York
army,Armee
lead,führen
bought,gekauft
finished,fertig
fair,gerecht
sun,Sonne
letter,Brief
fool,Narr
attention,Aufmerksamkeit
club,Verein
simple,einfach
interesting,interessant
space,Raum
test,prüfen
box,Kasten
group,Gruppe
single,einzel
sitting,Sitzung
marriage,Hochzeit
join,verbinden
fear,Furcht
d,D
peace,Frieden
forgot,vergessen
force,Gewalt
short,kurz
normal,normal
charlie,Charlie
present,gegenwärtig
enjoy,genießen
mike,Mike
crime,Verbrechen
horse,Pferd
ground,Boden
american,amerikanisch
count,zählen
area,Bereich
charge,Aufladung
honor,Ehre
lunch,Mittagessen
miles,Meilen
radio,Radio
idiot,Idiot
ball,Ball
surprise,Überraschung
paper,Papier
key,Schlüssel
boat,Boot
quickly,schnell
gold,Gold
bar,Bar
fish,Fisch
mark,markieren
tom,tom
wearing,tragen
crying,Weinen
accident,Unfall
government,Regierung
eight,acht
fell,fällen
cover,Abdeckung
certain,bestimmt
interested,interessiert
deep,tief
star,Stern
sea,Meer
agree,zustimmen
problems,Probleme
detective,Detektiv
prison,Gefängnis
major,wesentlich
stick,Stock
offer,Angebot
difficult,schwierig
smart,schlau
personal,persönlich
record,aufzeichnen
stopped,gestoppt
hide,verstecken
whether,ob
bank,Bank
trip,Reise
relax,entspannen
america,Amerika
public,öffentlich
list,Liste
afternoon,Nachmittag
brain,Gehirn
fix,Fix
bastard,Bastard
proud,stolz
tea,Tee
service,Service
screaming,schreiend
forward,nach vorne
angry,wütend
park,Park
soul,Seele
fighting,Kampf
peter,Peter
rich,reich
agent,Agent
blow,Schlag
paul,Paul
dress,Kleid
mary,Maria
missed,verpasst
scene,Szene
killing,Tötung
standing,Stehen
saved,Gerettet
mm,mm
respect,respektieren
killer,Mörder
ice,Eis
mess,Durcheinander
tough,hart
feels,fühlt sich
church,Kirche
sad,traurig
cell,Zelle
drunk,betrunken
share,Aktie
camera,Kamera
mm-hmm,mm-hmm
within,innerhalb
card,Karte
fly,Fliege
ben,Ben
girlfriend,Freundin
laugh,lachen
smell,Geruch
broken,gebrochen
mum,Mama
honest,ehrlich
often,oft
starting,beginnend
calls,Anrufe
y,j
spent,ausgegeben
third,dritte
english,Englisch
visit,besuchen
mama,Mutter
judge,Richter
window,Fenster
hungry,hungrig
dare,Wagen
relationship,Beziehung
moved,gerührt
prove,beweisen
private,Privat
wall,Wand
seat,Sitz
i-i,ich-ich
position,Position
lieutenant,Leutnant
realize,realisieren
lt,lt
especially,besonders
machine,Maschine
walking,gehen
art,Kunst
pleasure,Vergnügen
bloody,blutig
college,Hochschule
french,französisch
involved,beteiligt
cry,weinen
became,wurde
lived,lebte
impossible,unmöglich
obviously,offensichtlich
neither,weder
accept,akzeptieren
boyfriend,Freund
besides,außerdem
queen,Königin
teacher,Lehrer
cops,Polizisten
sake,willen
loves,liebt
carry,tragen
teach,unterrichten
apartment,Wohnung
upset,verärgern
green,Grün
la,la
liked,gefallen
cute,Niedlich
evil,teuflisch
professor,Professor
contact,Kontakt
joke,Witz
cop,Polizist
huge,riesig
holy,heilig
store,speichern
jail,Gefängnis
likes,Likes
lawyer,Rechtsanwalt
doubt,zweifeln
continue,weitermachen
appreciate,anerkennen
cat,Katze
shop,Geschäft
driving,Fahren
congratulations,Glückwunsch
wrote,schrieb
village,Dorf
quit,aufhören
field,Feld
james,James
wine,Wein
decision,Entscheidung
south,Süd
sleeping,Schlafen
slow,langsam
laughter,Lachen
island,Insel
glass,Glas
beginning,Anfang
cash,Kasse
dying,sterben
hundred,hundert
whose,wessen
difference,Unterschied
plane,Flugzeug
push,drücken
continues,geht weiter
mmm,mmm
singing,Singen
eating,Essen
north,Norden
mrs,Frau
tree,Baum
madam,gnädige Frau
gift,Geschenk
truck,LKW
putting,Putten
bear,tragen
board,Planke
grab,greifen
beer,Bier
stuck,gesteckt
magic,Magie
support,Unterstützung
rules,Regeln
grunts,grunzt
partner,Partner
reach,erreichen
wind,Wind
colonel,Oberst
max,max
immediately,sofort
seconds,Sekunden
thousand,tausend
gives,gibt
experience,Erfahrung
cheers,Prost
victim,Opfer
upon,auf
computer,Computer
christ,Christus
planet,Planet
promised,versprochen
bus,Bus
henry,Henry
dirty,schmutzig
search,suchen
staying,bleiben
dreams,Träume
arrest,Festnahme
holding,halten
suddenly,plötzlich
usually,normalerweise
lots,viele
shoes,Schuhe
er,ähm
jump,springen
rid,loswerden
yo,jo
knock,klopfen
owe,verdanken
harry,Harry
grow,wachsen
worst,am schlimmsten
river,Fluss
aunt,Tante
patient,geduldig
kitchen,Küche
aah,aah
fat,fett
passed,bestanden
m,M
final,Finale
summer,Sommer
bob,Bob
listening,Hören
escape,Flucht
everywhere,überall
moon,Mond
arms,Waffen
turns,wendet sich
address,Adresse
ow,Autsch
match,übereinstimmen
gasps,schnappt nach Luft
grand,großartig
yep,ja
shh,Pssst
nervous,nervös
de,de
choose,wählen
themselves,sich
decide,entscheiden
mate,Kumpel
drinking,Trinken
press,Drücken Sie
bother,sich kümmern
foot,Fuß
hadn,hatte
blame,beschuldigen
crap,Mist
drugs,Drogen
type,Typ
rings,Ringe
mission,Mission
named,genannt
heaven,Himmel
ii,ii
picked,gepflückt
paris,Paris
race,Wettrennen
risk,Risiko
books,Bücher
further,weiter
danny,Danny
action,Aktion
allowed,erlaubt
orders,Aufträge
learned,gelernt
price,Preis
arrived,angekommen
nick,Nick
otherwise,ansonsten
pictures,Bilder
fit,fit
smoke,Rauch
favor,favorisieren
played,gespielt
notice,beachten
awesome,Eindrucksvoll
smile,lächeln
director,Direktor
guard,bewachen
begin,beginnen
spot,Stelle
surprised,überrascht
innocent,unschuldig
narrator,Erzähler
herself,Sie selber
london,London
feelings,Gefühle
enemy,Feind
battle,Schlacht
ourselves,uns selbst
alex,Alex
dollars,Dollar
allow,erlauben
nine,neun
gay,Fröhlich
department,Abteilung
guilty,schuldig
apart,auseinander
earlier,früher
duty,Pflicht
jim,Jim
suit,Anzug
bell,Glocke
west,Westen
legs,Beine
hero,Held
destroy,zerstören
stage,Bühne
bunch,Bündel
according,nach
chicken,Huhn
bigger,größer
grunting,grunzend
low,niedrig
helping,Portion
admit,zugeben
closed,geschlossen
names,Namen
witness,Zeuge
upstairs,nach oben
arm,Arm
steal,stehlen
jimmy,Jimmy
kick,trete
twice,zweimal
cross,kreuzen
ways,Wege
sergeant,Sergeant
indeed,In der Tat
gas,Gas
keeping,behalten
energy,Energie
pregnant,schwanger
waste,Abfall
helped,hat geholfen
fired,gefeuert
favorite,Favorit
tony,Tony
taste,schmecken
locked,gesperrt
places,setzt
writing,Schreiben
adam,Adam
brothers,Brüder
starts,beginnt
prince,Prinz
form,bilden
sold,verkauft
silly,dumm
mention,erwähnen
build,bauen
throat,Kehle
hole,Loch
figured,dachte
track,Schiene
ringing,Klingeln
lock,sperren
leg,Bein
above,über
hiding,verstecken
steve,Steve
seemed,schien
breakfast,Frühstück
engine,Motor
written,geschrieben
complete,vollständig
video,Video
applause,Beifall
however,Jedoch
pressure,Druck
fresh,frisch
weapon,Waffe
sky,Himmel
ms.,MS.
stole,Stahl
study,Studie
burn,brennen
reading,Lektüre
crowd,Menge
treat,behandeln
roll,rollen
double,doppelt
spirit,Geist
danger,Gefahr
cost,kosten
empty,leer
level,Ebene
memory,Erinnerung
itself,selbst
acting,Schauspielkunst
interest,Interesse
nose,Nase
plans,Pläne
following,folgende
bathroom,Badezimmer
built,gebaut
closer,näher
ray,Strahl
sarah,Sarah
band,Band
groans,stöhnt
apparently,scheinbar
excited,aufgeregt
richard,Richard
losing,verlieren
animals,Tiere
flight,Flug
nature,Natur
raise,erheben
pop,Pop
client,Klient
bomb,Bombe
neck,Nacken
suspect,verdächtig
warm,warm
extra,extra
bottle,Flasche
van,Transporter
heavy,schwer
mommy,Mama
dogs,Hunde
wild,wild
ridiculous,lächerlich
simply,einfach
lee,Lee
animal,Tier
showed,zeigte
billy,Billy
shooting,Schießen
keeps,hält
camp,Lager
guns,Waffen
medical,medizinisch
shame,Scham
hoping,hoffen
whom,dem
bird,Vogel
majesty,Majestät
flowers,Blumen
famous,berühmt
asleep,schlafend
beauty,Schönheit
driver,Treiber
keys,Schlüssel
rain,Regen
awful,schrecklich
large,groß
local,lokal
deserve,verdienen
goddamn,gottverdammt
stone,Stein
jane,Jane
grace,Anmut
consider,halten
weekend,Wochenende
wondering,frage mich
lay,legen
plenty,eine Menge
willing,bereit
pants,Hose
sweetheart,Schatz
skin,Haut
excellent,exzellent
asshole,Arschloch
beach,Strand
c,C
faith,Glaube
beg,bitten
fuckin,Verdammt
responsible,verantwortlich
military,Militär
cheering,Jubel
opportunity,Gelegenheit
common,gemeinsam
bottom,unten
german,Deutsch
whoever,wer auch immer
cook,kochen
walked,ging
papers,Papiere
justice,Gerechtigkeit
hall,Saal
commander,Kommandant
drug,Arzneimittel
main,hauptsächlich
knife,Messer
devil,Teufel
necessary,notwendig
although,Obwohl
princess,Prinzessin
lights,Beleuchtung
flying,fliegend
dick,Schwanz
rose,Rose
knowing,wissend
clearly,deutlich
hat,Hut
agreed,vereinbart
johnny,Johnny
corner,Ecke
code,Code
note,Notiz
tommy,Tommy
due,fällig
correct,richtig
apologize,sich entschuldigen
language,Sprache
stars,Sterne
faster,Schneller
cars,Autos
folks,Leute
bullshit,Blödsinn
i.,ich.
fellow,Gefährte
several,mehrere
grandma,Oma
shows,zeigt an
leader,Führer
leaves,Blätter
restaurant,Restaurant
east,Ost
shouting,schreien
blind,blind
ghost,Geist
cup,Tasse
gotten,bekommen
tight,eng
conversation,Gespräch
tells,erzählt
lies,Lügen
nor,noch
pulled,gezogen
hanging,hängend
speed,Geschwindigkeit
stories,Geschichten
health,Gesundheit
advice,Beratung
held,gehaltenen
uh-huh,Uh-huh
murdered,ermordet
beyond,darüber hinaus
rule,Regel
hardly,kaum
possibly,möglicherweise
inspector,Inspektor
cousin,Cousin
trial,Versuch
emergency,Notfall
ought,sollte
eddie,Eddie
somehow,irgendwie
hearing,Hören
states,Zustände
account,Konto
spoke,gesprochen
file,Datei
understood,verstanden
angel,Engel
tape,Band
milk,Milch
powerful,mächtig
weapons,Waffen
practice,üben
manager,Manager
pardon,Begnadigung
vote,Abstimmung
jake,jake
national,National
career,Karriere
minister,Minister
super,super
taught,gelehrt
robert,Robert
biggest,größte
plays,Theaterstücke
natural,natürlich
dancing,Tanzen
copy,Kopieren
plus,Plus
martin,Martin
cake,Kuchen
freedom,Freiheit
among,unter
breath,Atem
operation,Betrieb
chris,Chris
crew,Besatzung
challenge,Herausforderung
market,Markt
meat,Fleisch
towards,in Richtung
bringing,bringen
dropped,fallen gelassen
student,Student
lied,gelogen
strength,Stärke
size,Größe
breathe,atmen
color,Farbe
monster,Monster
loud,laut
photo,Foto
aw,Ach
nearly,fast
sight,Sicht
greatest,größte
games,Spiele
bridge,Brücke
dressed,angezogen
arrested,verhaftet
horrible,schrecklich
coach,Trainer
planning,Planung
checked,überprüft
breaking,brechen
noticed,bemerkte
fantastic,fantastisch
screams,Geschrei
serve,Aufschlag
ideas,Ideen
investigation,Untersuchung
center,Center
older,älter
pack,Pack
soldiers,Soldaten
nonsense,Unsinn
doc,Dok
project,Projekt
training,Ausbildung
example,Beispiel
trick,Trick
prepared,vorbereitet
science,Wissenschaft
united,vereinigt
travel,reisen
incredible,unglaublich
grandpa,Opa
paying,zahlen
character,Charakter
teeth,Zähne
criminal,kriminell
charles,Charles
chinese,Chinesisch
truly,wirklich
honestly,Ehrlich
bro,Bruder
survive,überleben
bobby,Bobby
target,Ziel
feed,füttern
nurse,Krankenschwester
e,e
fake,gefälscht
records,Aufzeichnungen
breathing,Atmung
sweetie,Schätzchen
numbers,Zahlen
oil,Öl
suicide,Selbstmord
belong,gehören
whoo,Whoo
perfectly,perfekt
amy,Amy
forgotten,Vergessene
remain,bleiben
original,Original
papa,Papa
onto,auf zu
concerned,betroffen
credit,Kredit
ugh,Pfui
invited,eingeladen
discuss,diskutieren
research,Forschung
easier,Einfacher
view,Sicht
chair,Stuhl
hurts,tut weh
strike,schlagen
roger,Roger
fill,füllen
condition,Zustand
mountain,Berg
dr,DR
nowhere,nirgends
sheriff,Sheriff
kim,Kim
turning,drehen
brown,braun
recognize,erkenne
heads,Köpfe
audience,Publikum
all,alle
jealous,eifersüchtig
pretend,vorgeben
society,Gesellschaft
finding,finden
shirt,Hemd
comfortable,komfortabel
meaning,Bedeutung
guest,Gast
pieces,Stücke
dry,trocken
letting,vermieten
began,begann
aye,Ja
jeff,jeff
female,weiblich
release,freigeben
ho,ho
cards,Karten
pray,beten
unfortunately,Leider
balls,Bälle
destroyed,zerstört
ended,beendet
universe,Universum
prepare,vorbereiten
opinion,Meinung
movies,Filme
soldier,Soldat
wash,waschen
program,Programm
heat,Hitze
usual,üblich
ticket,Fahrkarte
stolen,gestohlen
prefer,bevorzugen
aware,bewusst
surely,sicherlich
male,männlich
base,Base
matters,Angelegenheiten
lift,Aufzug
lab,Labor
command,Befehl
proof,nachweisen
cream,Creme
selling,Verkauf
believed,geglaubt
create,erstellen
h,H
afford,leisten
sunday,Sonntag
total,gesamt
dumb,dumm
threw,warf
france,Frankreich
birth,Geburt
created,erstellt
realized,erkannte
british,britisch
noise,Lärm
nuts,Nüsse
students,Studenten
birds,Vögel
social,Sozial
brilliant,brillant
bodies,Körper
tie,binden
opened,geöffnet
ours,unsere
bucks,Dollar
kevin,Kevin
mister,Herr
ugly,hässlich
ryan,Ryan
focus,Fokus
dan,Dan
opens,öffnet
exist,existieren
followed,gefolgt
england,England
draw,ziehen
purpose,Zweck
letters,Briefe
daniel,Daniel
opening,Öffnung
bullet,Kugel
anna,Anna
lately,in letzter Zeit
stayed,blieb
falling,fallen
season,Jahreszeit
ends,endet
suggest,vorschlagen
joy,Freude
distance,Distanz
responsibility,Verantwortung
whenever,wann immer
issue,Ausgabe
thousands,Tausende
process,Verfahren
sword,Schwert
shower,Dusche
weak,schwach
fucked,gefickt
lonely,einsam
happiness,Glück
eric,Eric
tiny,winzig
desk,Schreibtisch
pool,Schwimmbad
property,Eigentum
forced,gezwungen
settle,siedeln
indistinct,undeutlich
weight,Gewicht
received,erhalten
gang,Gang
bite,beißen
friday,Freitag
disappeared,verschwunden
interview,Interview
expecting,erwarten
kinda,irgendwie
surgery,Operation
horses,Pferde
mayor,Bürgermeister
babe,Baby
ancient,uralt
handsome,gutaussehend
thomas,Thomas
saturday,Samstag
staff,Personal
lines,Linien
unit,Einheit
fan,Lüfter
gentleman,Gentleman
introduce,einführen
fate,Schicksal
split,Teilt
recently,kürzlich
expected,erwartet
add,hinzufügen
ordered,bestellt
slowly,langsam
alarm,Alarm
member,Mitglied
slept,habe geschlafen
signed,unterzeichnet
enter,eingeben
spanish,Spanisch
garden,Garten
brings,bringt
brave,mutig
pig,Schwein
model,Modell
finger,Finger
medicine,Medizin
access,Zugang
failed,fehlgeschlagen
flat,Wohnung
easily,leicht
discovered,entdeckt
based,basierend
screw,schrauben
insane,verrückt
cares,kümmert sich
weather,Wetter
fingers,Finger
san,san
scott,Scott
path,Weg
soft,weich
harm,Schaden
style,Stil
community,Gemeinschaft
sees,sieht
basically,grundsätzlich
al,al
signal,Signal
nope,Nein
spare,Ersatzteil
speech,Rede
covered,bedeckt
shake,Shake
loose,lose
snow,Schnee
russian,Russisch
lake,See
bright,hell
roof,Dach
ohh,ohh
sending,Senden
paint,malen
remind,erinnern
pal,Kumpel
naked,nackt
post,Post
sugar,Zucker
heading,Überschrift
streets,Straßen
damage,Schaden
silence,Schweigen
doors,Türen
pete,pete
ed,Hrsg
success,Erfolg
wet,nass
nah,Nein
amount,Menge
members,Mitglieder
kate,Kate
manage,verwalten
safety,Sicherheit
returned,ist zurückgekommen
harder,Schwerer
fbi,fbi
block,Block
showing,zeigen
fancy,schick
chef,Koch
contract,Vertrag
dig,graben
chest,Brust
good-bye,Verabschiedung
drinks,Getränke
dave,Dave
buried,begraben
brian,Brian
trade,Handel
journey,Reise
stomach,Magen
changes,Änderungen
details,Einzelheiten
thoughts,Gedanken
divorce,Scheidung
funeral,Beerdigung
maria,Maria
football,Fußball
reality,Wirklichkeit
theory,Theorie
gosh,Meine Güte
